configuration,run_id,dataset,split,seed,selection,objective,sampling,model,preprocessing,augmentation,loss,trial_accuracy,window_accuracy,subject_mean_accuracy,macro_f1,kappa,retained_test,requested_test,retained_train,requested_train,parameters,seconds,peak_cuda_bytes
raspy_mil,bci2a-0318cec9b9c0329be512,bci2a,A08-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7465277777777778,0.5467069892473119,0.7465277777777778,0.7342115242737031,0.662037037037037,288,288,288,288,1444,1341.7554473914206,125341184
standard_mil,bci2a-03c2e3d4f6026ca624b3,bci2a,A06-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.3993055555555556,0.3421818996415771,0.3993055555555556,0.348813236374224,0.19907407407407407,288,288,288,288,1548,365.7601577695459,125276672
standard_mil,bci2a-04531b6bed1ad3dfcb3a,bci2a,A08-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7743055555555556,0.5852374551971327,0.7743055555555556,0.7697483452620439,0.6990740740740741,288,288,288,288,1548,1451.3440632540733,125350912
standard_mil,bci2a-048ac717390c23e24403,bci2a,A05-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.3715277777777778,0.3226926523297491,0.3715277777777778,0.3441592579110359,0.1620370370370371,288,288,288,288,1548,1164.9942252449691,125350912
standard_mil,bci2a-0b726a4951ced25d94da,bci2a,A04-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.53125,0.40546594982078854,0.53125,0.5224777917927373,0.375,288,288,288,288,1548,1439.763149453327,125350912
standard_whole,bci2a-0e9144a7e633ef210095,bci2a,A01-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7735184628023618,0.7037037037037037,288,288,288,288,2124,1087.444705836475,77055488
standard_whole,bci2a-128cb60d62e2110e654f,bci2a,A06-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5902777777777778,0.5902777777777778,0.5902777777777778,0.5866145982433721,0.4537037037037037,288,288,288,288,2124,572.5644825026393,77004800
raspy_mil,bci2a-1514fd919492125e9e9f,bci2a,A01-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8055555555555556,0.5771729390681004,0.8055555555555556,0.8017574959066985,0.7407407407407407,288,288,288,288,1444,1649.0386819485575,125371904
raspy_window,bci2a-168533f1def1d27a62ce,bci2a,A07-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6006944444444444,0.5318100358422939,0.6006944444444444,0.5891451310558151,0.46759259259259256,288,288,288,288,1444,2251.3333353418857,125439488
standard_whole,bci2a-172e841470b5e9f49470,bci2a,A02-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6493055555555556,0.6493055555555556,0.6493055555555556,0.6413026903487374,0.5324074074074074,288,288,288,288,2124,983.7158031202853,77038592
standard_mil,bci2a-17ec2ce2e3adc677257a,bci2a,A09-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7881944444444444,0.6374327956989247,0.7881944444444444,0.7816512600196522,0.7175925925925926,288,288,288,288,1548,566.8034498989582,125321216
raspy_window,bci2a-1a61ffff05102abaebbb,bci2a,A01-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7604166666666666,0.6298163082437276,0.7604166666666666,0.7462656955300195,0.6805555555555556,288,288,288,288,1444,1358.9996051955968,125356544
standard_mil,bci2a-20021acd7d78071f5031,bci2a,A01-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8194444444444444,0.6074148745519713,0.8194444444444444,0.8186975655993654,0.7592592592592593,288,288,288,288,1548,1500.346203794703,125365760
standard_window,bci2a-20798193f27a6fee936d,bci2a,A01-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8472222222222222,0.668010752688172,0.8472222222222222,0.8453086139678698,0.7962962962962963,288,288,288,288,1548,1696.4121191632003,125380608
raspy_mil,bci2a-2388a65ca7426a396113,bci2a,A07-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.75,0.506608422939068,0.75,0.7454803683045976,0.6666666666666667,288,288,288,288,1444,1334.801039705053,125356544
raspy_window,bci2a-24502965737b27aa4682,bci2a,A02-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4722222222222222,0.3960573476702509,0.4722222222222222,0.42990010848534854,0.2962962962962963,288,288,288,288,1444,1098.2964367400855,125341184
standard_whole,bci2a-24723219d6b74b2f5be4,bci2a,A04-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5763888888888888,0.5763888888888888,0.5763888888888888,0.570312758989642,0.43518518518518523,288,288,288,288,2124,639.9324348252267,77004800
raspy_whole,bci2a-29ef32c524fab6707205,bci2a,A09-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7673611111111112,0.7673611111111112,0.7673611111111112,0.768518543030871,0.6898148148148149,288,288,288,288,1828,661.5114695038646,77003776
standard_window,bci2a-2aefbbd90fe2fb43e256,bci2a,A06-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4201388888888889,0.3765681003584229,0.4201388888888889,0.4009217999660859,0.22685185185185186,288,288,288,288,1548,1094.975790919736,125350912
raspy_whole,bci2a-407aa49cbc7f36edfd1a,bci2a,A01-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7048611111111112,0.7048611111111112,0.7048611111111112,0.7009897310948203,0.6064814814814814,288,288,288,288,1828,759.5925962720066,77003776
standard_window,bci2a-4210efb36e9fc5064eca,bci2a,A08-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7430555555555556,0.608086917562724,0.7430555555555556,0.7243234948879697,0.6574074074074074,288,288,288,288,1548,1979.1047500167042,125365760
raspy_whole,bci2a-43bbc20cee1248674abc,bci2a,A06-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5868055555555556,0.5868055555555556,0.5868055555555556,0.5828205500461598,0.44907407407407407,288,288,288,288,1828,441.1655407845974,76986880
standard_whole,bci2a-4594ae8fedcb38d8a2fb,bci2a,A07-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.713679260263184,0.6203703703703703,288,288,288,288,2124,583.9672225769609,77063168
