configuration,run_id,dataset,split,seed,selection,objective,sampling,model,preprocessing,augmentation,loss,trial_accuracy,window_accuracy,subject_mean_accuracy,macro_f1,kappa,retained_test,requested_test,retained_train,requested_train,parameters,seconds,peak_cuda_bytes
no_augmentation,inhouse-05fb9e9b6b4c4c71dfff,inhouse,01-random-4,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 0, ""strength"": 1.0}",mse,0.3404255319148936,0.34866163349347973,0.3404255319148936,0.25520266182698126,0.1238725195429945,47,47,188,190,1348,352.31463228026405,163783168
no_csd,inhouse-0d852e0fc7fd133d8eab,inhouse,01-random-4,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",no_csd,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5531914893617021,0.46465339739190115,0.5531914893617021,0.5543242988895163,0.40434520217260117,47,47,188,190,1348,1121.100182019174,163812864
raspy_mil,inhouse-185314e0721573457464,inhouse,01-random-0,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.22916666666666666,0.2567204301075269,0.22916666666666666,0.1937217194570136,-0.02777777777777768,48,48,187,189,1348,168.6940015926957,163679232
raspy_whole,inhouse-19bfa9988b4950765b38,inhouse,01-random-2,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.19585137085137083,-0.07721518987341769,46,47,189,190,1732,98.83290665503591,79606272
raspy_window,inhouse-1d73e5a0c63c9e124556,inhouse,01-random-1,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6041666666666666,0.543010752688172,0.6041666666666666,0.5935897435897436,0.4722222222222222,48,48,187,189,1348,1270.1067758318968,163827712
no_ica,inhouse-21be87cbb27d4ea582e0,inhouse,01-random-3,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",no_ica,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7608695652173914,0.5624123422159888,0.7608695652173914,0.7593946713511932,0.680757097791798,46,47,189,190,1348,814.0817979769781,163798016
raspy_mil,inhouse-2d2e9b8d04c1a5820c89,inhouse,01-random-4,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.3617021276595745,0.27934111187371313,0.3617021276595745,0.30898268398268397,0.15162454873646214,47,47,188,190,1348,142.8071956266649,163649536
standard_window,inhouse-2e47e540c532fcc19e1c,inhouse,01-random-1,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.75,0.5994623655913979,0.75,0.7153637566137565,0.6666666666666667,48,48,187,189,1452,779.594036812894,163804160
standard_deep,inhouse-3078a42db08934cf8c7e,inhouse,01-random-1,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 2, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6666666666666666,0.5672043010752689,0.6666666666666666,0.6546085136259621,0.5555555555555556,48,48,187,189,2540,1213.4683308857493,164034560
standard_window,inhouse-362c2465edd59f371aa8,inhouse,01-random-2,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5434782608695652,0.4635343618513324,0.5434782608695652,0.5479613681700968,0.39053627760252374,46,47,189,190,1452,566.1667024991475,163713024
raspy_window,inhouse-3ffef3bcf0d6c2d7107a,inhouse,01-random-3,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7608695652173914,0.5624123422159888,0.7608695652173914,0.7593946713511932,0.680757097791798,46,47,189,190,1348,815.4326078020968,163783168
standard_window,inhouse-46da0bf2a87ec907b0c0,inhouse,01-random-0,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6458333333333334,0.5436827956989247,0.6458333333333334,0.6426297534993187,0.5277777777777778,48,48,187,189,1452,1153.6991026350297,163875840
no_ica,inhouse-59657ea4e0846221a337,inhouse,01-random-4,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",no_ica,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.574468085106383,0.4557309540150995,0.574468085106383,0.5606203007518796,0.4330518697225574,47,47,188,190,1348,718.0376003812999,163732992
no_augmentation,inhouse-5a2c0d43d26b1e54fddf,inhouse,01-random-3,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 0, ""strength"": 1.0}",mse,0.7608695652173914,0.5799438990182328,0.7608695652173914,0.7563844393592678,0.6809583858764187,46,47,189,190,1348,586.2452751230448,163857408
raspy_whole,inhouse-5cb70ebb7e843f2c0495,inhouse,01-random-1,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.19963702359346644,-0.05555555555555558,48,48,187,189,1732,88.2037649648264,79589888
raspy_mil,inhouse-698b42e85ad095e27c79,inhouse,01-random-2,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.2608695652173913,0.24053295932678823,0.2608695652173913,0.20062388591800356,0.01573316551290116,46,47,189,190,1348,144.28015342308208,163649536
no_augmentation,inhouse-75d2aca524abeadad922,inhouse,01-random-2,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 0, ""strength"": 1.0}",mse,0.6739130434782609,0.5280504908835905,0.6739130434782609,0.6729347826086957,0.5652173913043479,46,47,189,190,1348,605.7058210279793,163827712
standard_window,inhouse-7824fe992c6c4aa0b5e5,inhouse,01-random-3,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6739130434782609,0.544179523141655,0.6739130434782609,0.6840909090909091,0.5638432364096081,46,47,189,190,1452,784.8999242857099,163818496
raspy_mil,inhouse-817664e057ac813bdaa8,inhouse,01-random-3,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.6086956521739131,0.4579242636746143,0.6086956521739131,0.62468671679198,0.4782608695652174,46,47,189,190,1348,535.2247079433873,163753472
standard_window,inhouse-8bbc9571912115cab543,inhouse,01-random-4,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.3191489361702128,0.29512697323266984,0.3191489361702128,0.20975609756097563,0.08571428571428574,47,47,188,190,1452,145.49145848304033,163646464
